"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Bear Canyon","320	","Idaho","SNOTEL","Custer","7900","43.74367","-113.93797","170402180101	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","28",,,"147","255","48","47","47","17","73","4","9",,,,"19","11","0","49","2015","2011, 2017","12"
"Bear Creek","321	","Nevada","SNOTEL","Elko","8040","41.83384","-115.45278","170501020301	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","31",,,"97","103","69","48","47","1","54","7","8",,,,"32","30","0","79","2012, 2015","2011","14"
"Bear Flat Meadow AM","1291	","Oregon","SNOLITE","Lake","6580","42.41655","-120.47043","171200060105	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,"0",,"0","0","0","0","67","2","1","Lowest",,,"2","0","0","8","2020, 2021, 2022","2019","4"
"Bear Grass","1166	","Oregon","SNOTEL","Linn","4720","44.3253","-122.0938","170900040203	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","110",,,"151","139","85","91","86","31","90","2","10","2nd Highest",,,"73","79","0","120","2015","2017","11"
"Bear Lake","322	","Colorado","SNOTEL","Larimer","9522","40.31176","-105.6467","101900060201	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","40",,,"85","85","74","59","60","-7","25","13","5",,,,"47","47","19","79","2012","2011","17"
"Bear Mountain","323	","Idaho","SNOTEL","Bonner","5400","48.30577","-116.07448","170102131202	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","106",,,"96","96","87","73","75","-4","37","13","8",,,,"110","110","35","179","2015","2011","20"
"Bear River","1061	","Colorado","SNOTEL","Routt","9112","40.06152","-107.00948","140500010102	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","13",,,"48","52","39","22","27","-12","6","17","2","2nd Lowest",,,"27","25","3","51","2012","2011","18"
"Bear River RS","992	","Utah","SNOTEL","Summit","8777","40.8852","-110.8277","160101010106	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,"0",,"0","0","0","0","64","5","1","Lowest",,,"4","0","0","40","2020, 2021, 2022, more","2011","12"
"Bear Saddle","324	","Idaho","SNOTEL","Washington","6180","44.60533","-116.98097","170501241001	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","39",,,"162","195","76","58","66","19","78","3","8",,,,"24","20","0","48","2015","2017","10"
"Bear Trap Meadow","325	","Wyoming","SNOTEL","Johnson","8200","43.88743","-107.06135","100902010205	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","15",,,"125","100","50","41","39","0","56","9","10",,,,"12","15","0","36","2006, 2012, 2015, more","2011","19"
"Beartooth Lake","326	","Wyoming","SNOTEL","Park","9360","44.94307","-109.56743","100700060206	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"74","68","54","105","2016","2018","18"
"Beartown","327	","Colorado","SNOTEL","San Juan","11600","37.71433","-107.5124","130100010104	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","11",,,"33","32","15","14","14","-23","19","18","5",,,,"33","34","0","78","2012","2019","22"
"Beaver Ck Village","1041	","Colorado","SNOTEL","Eagle","8565","39.59871","-106.51113","140100030301	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","10",,,"91","71","5","16","22","-4","44","11","9",,,,"11","14","0","37","2012, 2015, 2017, more","2011","19"
"Beaver Creek","328	","Montana","SNOTEL","Gallatin","7850","44.94966","-111.35852","100200070402	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","47",,,"96","98","92","73","75","-1","47","11","10",,,,"49","48","23","74","2015","2011","20"
"Beaver Dams","329	","Utah","SNOTEL","Sanpete","7990","39.13683","-111.55813","160300040402	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,"0",,"0","0","0","0","71","6","1","Lowest",,,"1","0","0","15","2018, 2020, 2022, more","2011","18"
"Beaver Divide","330	","Utah","SNOTEL","Summit","8280","40.61233","-111.09782","160202030105	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","2",,,"25",,"4","4","5","2","55","10","12",,,,"8","0","0","51","2015, 2018, 2021, more","2011","21"
"Beaver Head","902	","Arizona","SNOTEL","Greenlee","8076","33.69115","-109.21685","150601010107	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,,,"0","0","0","0","80","5","1","Lowest",,,"0","0","0","2","2020, 2021, 2022, more","2009","21"
"Beaver Pass","990	","Washington","SNOTEL","Whatcom","3630","48.8793","-121.2555","171100050605	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"74","77","17","115","2015","2012","20"
"Beaver Reservoir","331	","Oregon","SNOTEL","Union","5150","45.14532","-118.219","170601040301	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","13",,,"260",,"32","33","33","13","88","3","16",,,,"5","0","0","30","2018, 2020, 2021, more","2008","18"
"Beaver Spring","1143	","Arizona","SNOTEL","Apache","9255","36.32671","-109.05702","140802040401	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"1","0","0","8","2019, 2020, 2021, more","2010","12"
"Ben Lomond Peak","332	","Utah","SNOTEL","Weber","7689","41.37603","-111.94405","160201020302	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","19",,,"39","50","33","20","21","-19","12","22","4",,,,"49","38","0","110","2015","2011","25"
"Ben Lomond Trail","333	","Utah","SNOTEL","Weber","5972","41.38291","-111.92103","160201020302	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,"0",,"0","0","0","0","65","8","1","Lowest",,,"5","0","0","44","2020, 2021, 2022, more","2011","21"
"Berry Creek","334	","Nevada","SNOTEL","White Pine","9377","39.31917","-114.62278","160600081301	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","28",,,"76","88","55","46","45","-4","39","15","8",,,,"37","32","1","91","2015","2005","24"
"Berthoud Summit","335	","Colorado","SNOTEL","Grand","11314","39.80364","-105.77786","140100010202	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","49",,,"84","79","79","65","63","-13","17","16","4",,,,"58","62","6","91","2012","2011","19"
"Bettles FAA Airport","0761	","Alaska","ACIS","Yukon-Koyukuk","640","66.91666","-151.51666","190901012604	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"12","10","0","39","2007, 2010, 2016, more","1964","70"
"Bettles Field","1182	","Alaska","SNOTEL","Yukon-Koyukuk","640","66.91667","-151.53333","190901012604	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","17",,,"85","89","45","50","49","-2","40","7","4",,,,"20","19","10","35","2015","2019","11"
"Bevans Cabin","1214	","Utah","SNOTEL","Tooele","6520","40.46182","-112.25233","160203040401	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2020, 2021, 2022, more","2020, 2021, 2022, more","10"
"Big Bend","336	","Nevada","SNOTEL","Elko","6898","41.76168","-115.6931","170501040104	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","0",,,"0",,"0","0","0","0","86","4","1","Lowest",,,"2","0","0","27","2020, 2021, 2022, more","2011","22"
"Big Creek Sum","337	","Nevada","SNOTEL","Lander","8685","39.29148","-117.11506","160401070303	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","25",,,"64","57","51","38","38","-19","22","15","4",,,,"39","44","0","64","2012, 2015","2005","19"
"Big Creek Summit","338	","Idaho","SNOTEL","Valley","6560","44.62621","-115.79561","170602080402	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","62",,,"105","107","84","67","67","4","67","8","15",,,,"59","58","17","102","2015","2011","22"
"Big Flat","339	","Utah","SNOTEL","Beaver","10349","38.30183","-112.35672","160300070202	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT","41",,,"76","73","58","55","57","-15","24","20","6",,,,"54","56","18","103","2000","2005","26"
"Big Goose","931	","Wyoming","SNOTEL","Sheridan","7990","44.57924","-107.20068","100901010103	","May 2, 2022, end of day ","5-03-2022, 10:27 PM MDT",,,,,,,,,,,,,,,,"27","28","6","50","2012","2017","23"
